Word/Phrase,TF-IDF_Average,Intensity_Coefficient
hot and,0.0005357033608919788,0.4278777648771137
outstanding,0.00048132803842249527,0.4248619176268331
flow,0.0003401699393083923,0.4244356896371515
nice and,0.0030211522587638246,0.4233015295312876
enjoyable,0.00033155743605408906,0.42284519350587324
solid,0.0007148382536424319,0.42101721016726845
positive,0.0010778358695038854,0.41963180587062027
seats,0.0013259618927205174,0.41590987315533173
for free,0.0008000006546262646,0.41416616627038955
they have,0.004999212619076048,0.4113118486833807
enjoy this,0.0002896670491067515,0.41118357726807886
enjoyed,0.0007811625254127518,0.4104987750173429
like that,0.0008814358285484423,0.41029226234782984
had,0.011557253332688752,0.41002370789226555
kudos to,0.00031188793790708566,0.4099876167680079
the staff,0.008583210464924142,0.40960315883331555
the nicest,0.0006868431953416297,0.40782065001794104
was delicious,0.0007614059356737764,0.40594334169092344
in about,0.00018170475062532633,0.4053416086220686
than minutes,0.000341084923427482,0.4038502705295933
here for,0.0014326239940408408,0.40324279253187517
and,0.03751940755354769,0.4029254794922829
cute,0.0008483982942484164,0.40290698883254905
makes,0.003494870078276361,0.40282162213491457
superb,0.00028051652905678517,0.40249077989008586
indy,0.0004901491667233753,0.4019887366657055
remember,0.0017040571242974921,0.4011364965812823
holiday,0.0007629574117568171,0.40033393687320323
was so nice,0.0003190266398456876,0.39911957508197793
never had,0.0019240390380189357,0.39870100747727516
left my,0.00025155022073576643,0.3978574633582534
good and,0.0012668701161771849,0.3966807799520259
about minutes,0.0002604983028339742,0.39543233022323176
every starbucks,0.0005156632528185896,0.3946905668931868
me free,0.00023946580104120135,0.3937850456820003
on starbucks,0.00044434479790608707,0.39323401672879504
no line,0.0005162911976501813,0.39109911396356567
coupon,0.0003453129893839391,0.39059897547106914
happily,0.00026736477038940464,0.3904047103445488
is amazing,0.0007578418819959337,0.3900718608186028
fresh,0.0013871051130748635,0.38943286574721675
fun,0.0013503835566359176,0.3887031786912354
had it,0.00039425174197538454,0.38762221538559816
re not,0.0006049674130461058,0.387245570058087
brought,0.0007138802467233819,0.3872326575249964
name,0.003786401784806254,0.3870227320218561
few minutes,0.0005660325691195278,0.3863097159130573
best starbucks,0.0019468861688207407,0.3862019023717159
very friendly,0.003398866153504309,0.3852409887740447
would go,0.00034017025266023604,0.38488781824204477
with smile,0.0014276064573538873,0.3835374279665017
