Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral/mixed_coef,positive_coef
day,0.010575586587686833,positive,1.3525499225899495,-0.17595354183745948,-1.176596380752495,1.3525499225899495
know,0.010318499637379679,positive,0.807346810986237,-0.15481962712438538,-0.6525271838618493,0.807346810986237
customer,0.010315462116388497,neutral/mixed,-1.5813620303070595,1.2122653011890825,-1.5813620303070595,0.3690967291179658
way,0.01029755914602421,negative,0.41049688966682785,0.41049688966682785,-0.3377806920798308,-0.07271619758699548
got,0.010280874999510654,positive,-0.31739526669043716,0.10000888790823491,0.21738637878220596,-0.31739526669043716
come,0.009890600960847047,neutral/mixed,-0.9185128760864147,0.35472931239012956,-0.9185128760864147,0.5637835636962831
right,0.009803542098714953,positive,0.8868333875121096,-0.3370746085262665,-0.5497587789858417,0.8868333875121096
busy,0.009653835921802485,positive,1.4357965198042613,-1.2204595789066552,-0.21533694089758867,1.4357965198042613
times,0.00961651006255597,positive,-0.543606839550501,0.3941858822088278,0.14942095734166602,-0.543606839550501
didn,0.009556597932016915,positive,-0.9782383830136178,0.5174053602194916,0.46083302279411686,-0.9782383830136178
wait,0.009556261088381772,negative,1.0808139172437012,1.0808139172437012,-0.6684012802150407,-0.412412637028661
pretty,0.009333817991601776,negative,-1.9204948374278183,-1.9204948374278183,1.2040116733043493,0.7164831641234699
parking,0.009287338832629772,positive,1.038493023296349,-0.23366683819882195,-0.804826185097544,1.038493023296349
ordered,0.009164360412774143,negative,1.4897090188426507,1.4897090188426507,-0.6238117353008337,-0.8658972835418172
inside,0.009158735581890455,positive,0.19844925027913474,-0.1237600952503749,-0.07468915502876347,0.19844925027913474
lot,0.00914093941773342,negative,-1.158756661153879,-1.158756661153879,0.8651872512296943,0.2935694099241793
better,0.009060545872549485,positive,-0.8320021295988693,0.19609701748142283,0.6359051121174468,-0.8320021295988693
employees,0.008911321862762608,neutral/mixed,-2.218911992516523,2.0155825231653477,-2.218911992516523,0.20332946935115304
product,0.008810405453963865,neutral/mixed,2.7706652000070315,-0.8317793046020568,2.7706652000070315,-1.9388858954049788
morning,0.008691412350755802,positive,0.8271694374657899,-0.11268832678616934,-0.7144811106796174,0.8271694374657899
going,0.008677939420803995,negative,1.2201035183386597,1.2201035183386597,-0.9464195165930678,-0.2736840017455999
best,0.008639076944265462,positive,2.92385792646887,-2.620335419335534,-0.30352250713336426,2.92385792646887
baristas,0.008622307729770148,positive,1.5006793493389894,-0.19835965697567456,-1.302319692363322,1.5006793493389894
clean,0.008509143197354976,positive,1.6975598038396233,-1.6813457728863423,-0.016214030953276608,1.6975598038396233
small,0.008209907990132874,neutral/mixed,1.6059872585269925,-1.2257966867320904,1.6059872585269925,-0.380190571794904
did,0.008142981562573292,positive,-0.9157693372205369,0.22599154025635598,0.6897777969641724,-0.9157693372205369
super,0.00810238628543795,positive,1.6066333234220942,-0.9766147465255349,-0.6300185768965607,1.6066333234220942
seating,0.008017615729732837,positive,1.5144242469670053,-1.1902541456198572,-0.32417010134714924,1.5144242469670053
area,0.00797521854180132,positive,1.2611436385450163,-0.5664778753617313,-0.6946657631832912,1.2611436385450163
slow,0.007974511116595886,negative,3.2656411940921175,3.2656411940921175,-0.14117343555615547,-3.1244677585359417
new,0.007815896110456062,positive,1.724630443744088,-0.9436703677592272,-0.7809600759848616,1.724630443744088
barista,0.007790362937179942,positive,1.2807432389273419,-0.19528217278483603,-1.0854610661425153,1.2807432389273419
bad,0.007559365875385762,positive,-1.3207808027770802,1.1875916043312682,0.13318919844580016,-1.3207808027770802
need,0.007553606537018016,positive,-1.3202753403941434,0.5194281750564401,0.8008471653376863,-1.3202753403941434
customer service,0.007535728822784239,neutral/mixed,-0.7983865518881696,0.22751499834437106,-0.7983865518881696,0.5708715535438031
doesn,0.0075006812501635265,neutral/mixed,1.8389250653698985,-0.30057659389211283,1.8389250653698985,-1.5383484714777893
sure,0.007496582534103177,positive,0.31966405446792834,-0.17999879800045565,-0.13966525646747333,0.31966405446792834
cup,0.007397189217267749,negative,1.5295652968866011,1.5295652968866011,-0.6812799703666729,-0.8482853265199338
went,0.007395426025606206,neutral/mixed,-0.42740007188270684,0.27358500631162674,-0.42740007188270684,0.1538150655710771
fast,0.0073333531931014185,positive,3.2704571251523866,-2.640256325921966,-0.630200799230424,3.2704571251523866
want,0.00730063401048078,negative,0.7073050668253774,0.7073050668253774,-0.34092758144052854,-0.36637748538485004
said,0.0072701646307994075,negative,1.5415952914530302,1.5415952914530302,-0.3004072230314138,-1.2411880684216088
does,0.007248220072046821,neutral/mixed,1.85869595249942,-0.4477211539304732,1.85869595249942,-1.4109747985689447
think,0.007225896909543797,neutral/mixed,0.5204929677078438,-0.12418658949241053,0.5204929677078438,-0.39630637821543185
customers,0.0071990380274395,negative,1.4406054949831082,1.4406054949831082,-0.7938949888514127,-0.6467105061316847
asked,0.0070906883271910056,negative,1.6624352723389082,1.6624352723389082,-0.4751560250699682,-1.1872792472689315
quick,0.007049253917661744,positive,2.6849433713268644,-2.283706405235779,-0.4012369660911011,2.6849433713268644
