Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral/mixed_coef,positive_coef
starbucks,0.03928976819738575,neutral/mixed,-3.3468143408846847,1.3467560911991616,-3.3468143408846847,2.0000582496855053
coffee,0.02594552895286924,neutral/mixed,-2.11543833239083,1.686052559606121,-2.11543833239083,0.4293857727847207
location,0.02379211336899469,neutral/mixed,-1.3146395154848454,0.7118465084367397,-1.3146395154848454,0.6027930070481129
like,0.021525641193580802,negative,-0.9478680946937272,-0.9478680946937272,0.7570923303559128,0.19077576433781085
service,0.020737479819235446,neutral/mixed,-1.7413060061762937,0.8824827246649144,-1.7413060061762937,0.8588232815113658
order,0.020055057677638016,neutral/mixed,-1.4601251895294567,0.7815624037632533,-1.4601251895294567,0.6785627857662003
just,0.02002303968367987,positive,-1.0279201138739134,0.4185585043690821,0.6093616095048316,-1.0279201138739134
time,0.0199390776678562,negative,0.8411224688555915,0.8411224688555915,-0.7956836824559884,-0.04543878639960111
drink,0.019787744078910603,neutral/mixed,-1.6662387993446506,1.43831243129873,-1.6662387993446506,0.22792636804592764
good,0.01946257742827274,negative,-2.547132433366918,-2.547132433366918,1.37000670643735,1.177125726929574
great,0.018974057253000262,negative,-4.068006022910248,-4.068006022910248,0.4975034998885919,3.570502523021639
drive,0.018785882440348674,neutral/mixed,-1.1910436641817688,0.17887723918927814,-1.1910436641817688,1.0121664249924907
staff,0.01834043343040177,neutral/mixed,-2.48450743637623,0.23036382765686553,-2.48450743637623,2.254143608719349
friendly,0.017609078737827865,positive,4.193855638572127,-3.860061258761708,-0.333794379810421,4.193855638572127
nice,0.015518413645575083,negative,-3.2491392412597473,-3.2491392412597473,0.550790039094502,2.6983492021652453
ve,0.014946857530910455,neutral/mixed,-0.7765925160559082,0.2845516816704061,-0.7765925160559082,0.49204083438551016
place,0.014681708382512395,neutral/mixed,-1.2602393397915952,0.7770354964862914,-1.2602393397915952,0.4832038433053037
don,0.014549098349588606,positive,-1.2608461711142607,0.8614047754291254,0.3994413956851465,-1.2608461711142607
drinks,0.014189725084961082,negative,0.9035891201337289,0.9035891201337289,-0.7922676435116581,-0.1113214766220669
really,0.013818506514507287,negative,-0.9500911729678282,-0.9500911729678282,0.6434819365020267,0.30660923646579985
work,0.013377915960523817,negative,-0.7581474517930628,-0.7581474517930628,0.03705224612435005,0.7210952056687105
people,0.013259675183059125,neutral/mixed,-1.1617150327467045,1.0159054860223824,-1.1617150327467045,0.14580954672432192
hair,0.012863010750255713,neutral/mixed,2.8626402680577736,-1.0916676055263284,2.8626402680577736,-1.770972662531458
love,0.0126147885104848,positive,3.610365593144755,-2.968517612754518,-0.6418479803902399,3.610365593144755
line,0.012576989569829222,negative,0.7996115403798245,0.7996115403798245,-0.6180016173619174,-0.181609923017908
make,0.012246826390213574,neutral/mixed,-0.775839712062569,0.2731138262552986,-0.775839712062569,0.5027258858072686
long,0.011427288827595802,neutral/mixed,0.40068194557741205,-0.3835830267231202,0.40068194557741205,-0.017098918854290962
minutes,0.011294260136034752,negative,2.2902503505267564,2.2902503505267564,-0.45628926513549123,-1.8339610853912487
store,0.011147275010969132,neutral/mixed,-1.2622902023399167,0.8279686376805176,-1.2622902023399167,0.4343215646594071
use,0.01112144192842579,neutral/mixed,2.093984865600363,-0.4198371610297743,2.093984865600363,-1.6741477045705957
br,0.010566245471710553,neutral/mixed,2.5292754372539923,-1.2717610914494126,2.5292754372539923,-1.2575143458045588
day,0.010517749428628546,positive,1.289414138909273,-0.36275864216781856,-0.9266554967414615,1.289414138909273
little,0.010472076335409284,negative,-2.0615016378304647,-2.0615016378304647,1.443049513562911,0.6184521242675605
know,0.010414239287320694,positive,0.7928848338814001,-0.19104721404579297,-0.6018376198356076,0.7928848338814001
customer,0.010404241861369434,neutral/mixed,-1.5320742216181462,1.2296514040915876,-1.5320742216181462,0.30242281752656275
got,0.010292752555339667,positive,-0.37018036904407825,0.02110481618400752,0.3490755528600706,-0.37018036904407825
way,0.01026058318656353,negative,0.43642621754886995,0.43642621754886995,-0.4292400753242351,-0.007186142224631183
come,0.009872140222258614,neutral/mixed,-1.0513473236557054,0.4155540544469298,-1.0513473236557054,0.6357932692087714
right,0.00977834028517185,positive,0.8112285743734681,-0.36686532913877634,-0.44436324523468984,0.8112285743734681
busy,0.009684695786846192,positive,1.3993081337652078,-1.2122454363699193,-0.1870626973952862,1.3993081337652078
times,0.009625425849237252,positive,-0.48979059487988974,0.33407135141319566,0.15571924346669364,-0.48979059487988974
wait,0.009548418558444188,negative,1.120198863461955,1.120198863461955,-0.6649416531598358,-0.4552572103021206
didn,0.009544473193399818,positive,-1.0076391969008498,0.4671328099194332,0.5405063869814186,-1.0076391969008498
pretty,0.009391151965358134,negative,-1.8511583020717821,-1.8511583020717821,1.1075859283809633,0.7435723736908348
parking,0.00927969406583329,positive,0.9999373202776163,-0.15052793947434595,-0.8494093808032633,0.9999373202776163
inside,0.00921334229035844,positive,0.20336802102744128,-0.17346621394162906,-0.029901807085812238,0.20336802102744128
ordered,0.009109469997556031,negative,1.5905465997727442,1.5905465997727442,-0.666570223528399,-0.9239763762443445
better,0.009104824513731666,positive,-0.8085611733928272,0.18481177672432017,0.6237493966685068,-0.8085611733928272
